,density,DH_mix,DS_mix,T_m,delta,D_elneg,VEC,lattice
198,7.72,-7.26,13.44,1831.05,3.74,0.12,7.84,multi-phase
199,6.96,-11.72,14.53,1796.89,5.54,0.17,6.9,multi-phase
200,7.24,-11.08,14.53,1792.08,5.39,0.15,7.25,multi-phase
201,7.11,-12.08,14.53,1755.69,5.69,0.16,7.2,multi-phase
202,7.11,-10.83,14.53,1826.41,5.27,0.16,7.0,multi-phase
203,7.06,-12.32,14.61,1792.95,5.61,0.17,7.02,multi-phase
204,7.17,-10.5,14.53,1795.66,5.3,0.15,7.17,multi-phase
205,6.8,-12.13,13.92,1707.86,5.3,0.13,7.18,multi-phase
206,6.89,-11.95,14.22,1730.71,5.35,0.14,7.15,multi-phase
207,6.96,-11.78,14.43,1752.69,5.4,0.15,7.13,multi-phase
208,7.04,-11.6,14.59,1773.86,5.44,0.15,7.11,multi-phase
209,7.11,-11.44,14.7,1794.27,5.47,0.16,7.09,multi-phase
210,7.22,-9.7,14.23,1796.84,5.15,0.15,7.23,multi-phase
211,7.12,-10.27,14.23,1853.61,5.1,0.16,6.92,multi-phase
212,7.35,-10.7,14.23,1790.23,5.29,0.15,7.38,multi-phase
213,6.77,-13.32,13.92,1704.99,5.5,0.12,7.16,multi-phase
214,6.84,-14.66,14.34,1734.85,5.83,0.12,7.1,multi-phase
215,6.95,-16.53,14.7,1780.99,6.24,0.13,7.0,multi-phase
216,7.05,-18.03,14.86,1823.13,6.55,0.13,6.91,multi-phase
217,6.45,-16.39,14.22,1684.21,5.49,0.12,7.08,multi-phase
218,6.22,-19.84,14.59,1684.31,5.7,0.12,6.96,multi-phase
219,6.01,-22.76,14.78,1684.41,5.86,0.12,6.86,multi-phase
220,5.82,-25.23,14.87,1684.49,5.99,0.12,6.76,multi-phase
221,5.65,-27.33,14.9,1684.58,6.1,0.12,6.67,multi-phase
222,7.56,-12.4,13.67,1823.19,5.0,0.13,7.91,multi-phase
223,7.21,-16.96,13.97,1832.69,6.01,0.14,7.6,multi-phase
224,7.53,-8.93,13.44,1809.35,4.06,0.11,7.8,multi-phase
225,6.64,-19.57,14.7,1799.04,6.44,0.14,7.0,multi-phase
226,5.9,-22.72,14.79,1665.88,6.64,0.14,6.38,multi-phase
227,6.62,-17.17,14.53,1712.49,6.02,0.13,7.08,multi-phase
228,6.44,-17.92,14.7,1707.45,6.12,0.13,6.91,multi-phase
229,6.23,-21.56,14.9,1726.91,6.58,0.14,6.67,multi-phase
230,6.06,-23.91,14.79,1743.38,6.84,0.15,6.46,multi-phase
231,6.77,-16.43,14.23,1716.76,5.91,0.13,7.23,multi-phase
232,7.02,-15.04,13.48,1723.6,5.7,0.13,7.47,multi-phase
233,5.62,-23.35,14.53,1613.56,6.64,0.14,6.14,multi-phase
234,6.49,-16.89,14.9,1589.87,6.58,0.15,7.5,multi-phase
235,6.41,-17.89,14.9,1403.49,6.43,0.15,8.17,multi-phase
236,6.87,-5.11,14.9,1588.21,4.73,0.14,7.5,multi-phase
237,6.19,-15.4,14.7,1611.13,6.45,0.15,7.09,multi-phase
238,6.32,-12.26,14.79,1698.65,6.14,0.14,6.92,multi-phase
239,6.26,-13.67,14.9,1658.54,6.57,0.15,7.0,multi-phase
240,6.38,-11.1,14.53,1733.03,5.99,0.14,6.86,multi-phase
241,6.46,-9.31,13.86,1788.91,5.72,0.13,6.75,multi-phase
242,6.21,-18.84,14.7,1874.5,5.97,0.13,6.27,multi-phase
243,7.15,-16.84,14.53,2169.09,4.34,0.22,4.3,multi-phase
244,7.56,-8.62,13.78,2264.97,4.23,0.1,4.3,multi-phase
245,6.23,-24.89,14.9,1816.3,11.27,0.21,6.0,multi-phase
246,8.18,1.44,14.9,1727.3,1.0,0.14,8.5,multi-phase
247,7.82,-3.7,14.7,1784.59,4.46,0.12,8.36,multi-phase
248,7.58,-6.75,14.87,1792.68,5.27,0.13,8.14,multi-phase
249,7.43,-8.44,14.9,1797.63,5.65,0.14,8.0,multi-phase
250,6.88,-14.04,14.53,1818.11,6.69,0.16,7.43,multi-phase
